input_path,original_filename,output_basename,n_kept_worms,resumed,label_feldnr,label_x,label_y,label_r4s,label_complete,label_raw_text,sample_id,label_xy_confidence,count,qr_plot,qr_spalte,qr_reihe,qr_sample_id,qr_condition,qr_text,qr_detected
malchow_project\images\IMG_0768.jpg,IMG_0768.jpg,IMG-0768__qr-NOQR__aaa929a9,149,True,23.0,1.0,27.0,379.0,True,FeidNr: 23 | X=i;y = 27 | R4s,379.0,high,149,23.0,1.0,27.0,379.0,R4S,FeidNr: 23 | X=i;y = 27 | R4s,True
malchow_project\images\IMG_0769.jpg,IMG_0769.jpg,IMG-0769__qr-NOQR__04caecee,147,True,23.0,1.0,27.0,379.0,True,FeidNr: 23 | X=1;y = 27 | R4s,379.0,high,147,23.0,1.0,27.0,379.0,R4S,FeidNr: 23 | X=1;y = 27 | R4s,True
malchow_project\images\IMG_0771.jpg,IMG_0771.jpg,IMG-0771__qr-NOQR__25621cde,119,True,24.0,1.0,28.0,384.0,True,FeldNr: 24 | R4s | 1 | x=I;y = 28,384.0,high,119,24.0,1.0,28.0,384.0,R4S,FeldNr: 24 | R4s | 1 | x=I;y = 28,True
malchow_project\images\IMG_0772.jpg,IMG_0772.jpg,IMG-0772__qr-NOQR__c0faf60f,115,True,24.0,1.0,28.0,384.0,True,FeldNr: 24 | X=I;y = 28 | R4s | 384,384.0,high,115,24.0,1.0,28.0,384.0,R4S,FeldNr: 24 | X=I;y = 28 | R4s | 384,True
malchow_project\images\IMG_0774.jpg,IMG_0774.jpg,IMG-0774__qr-NOQR__cdd19887,128,True,25.0,1.0,29.0,344.0,True,FeldNr: 25 | R4s | x=I;y = 29,344.0,high,128,25.0,1.0,29.0,344.0,R4S,FeldNr: 25 | R4s | x=I;y = 29,True
malchow_project\images\IMG_0775.jpg,IMG_0775.jpg,IMG-0775__qr-NOQR__69568db4,132,True,25.0,1.0,29.0,344.0,True,FeldNr: 25 | R4s | x=1;y = 29,344.0,high,132,25.0,1.0,29.0,344.0,R4S,FeldNr: 25 | R4s | x=1;y = 29,True
malchow_project\images\IMG_0777.jpg,IMG_0777.jpg,IMG-0777__qr-NOQR__b7e51b2e,317,True,26.0,1.0,30.0,225.0,True,FeldNr: 26 | R4s | X=I;y = 30,225.0,high,317,26.0,1.0,30.0,225.0,R4S,FeldNr: 26 | R4s | X=I;y = 30,True
malchow_project\images\IMG_0778.jpg,IMG_0778.jpg,IMG-0778__qr-NOQR__15f35046,317,True,26.0,1.0,30.0,225.0,True,FeldNr: 26 | X=1;y = 30 | R4s,225.0,high,317,26.0,1.0,30.0,225.0,R4S,FeldNr: 26 | X=1;y = 30 | R4s,True
malchow_project\images\IMG_0780.jpg,IMG_0780.jpg,IMG-0780__qr-NOQR__073034c5,44,True,27.0,1.0,31.0,342.0,True,FeldNr: 27 | R4s | x=I;y = 31,342.0,high,44,27.0,1.0,31.0,342.0,R4S,FeldNr: 27 | R4s | x=I;y = 31,True
malchow_project\images\IMG_0782.jpg,IMG_0782.jpg,IMG-0782__qr-NOQR__2d29a38a,48,True,27.0,1.0,31.0,342.0,True,FeldNr: 27 | R4s | x=I;y = 31,342.0,high,48,27.0,1.0,31.0,342.0,R4S,FeldNr: 27 | R4s | x=I;y = 31,True
