barcode,parcel_plot,parcel_spalte,parcel_reihe,parcel_r4s,genotype,plant_weight_g,plant_weight_kg,n_plants,plant_weight_per_plant_g,larvae_in_tray_manual
Feld258_R4S_312_TAIWAN,258,22.0,9.0,312,TAIWAN,153.0,0.153,10,15.3,12.0
Feld259_R4S_252_Lirajet,259,23.0,9.0,252,Lirajet,149.0,0.149,14,10.642857142857142,
Feld260_R4S_231_Campari,260,24.0,9.0,231,Campari,193.0,0.193,11,17.545454545454547,10.0
Feld261_R4S_540_Smaragd,261,25.0,9.0,540,Smaragd,162.0,0.162,11,14.727272727272727,2.0
Feld262_R4S_223_BIENVENU DH4,262,26.0,9.0,223,BIENVENU DH4,152.0,0.152,10,15.2,
Feld263_R4S_424_R18,263,27.0,9.0,424,R18,37.0,0.037,11,3.3636363636363638,18.0
Feld264_R4S_235_Nugget,264,28.0,9.0,235,Nugget,234.0,0.234,14,16.714285714285715,4.0
Feld265_R4S_283_Mytnickij,265,29.0,9.0,283,Mytnickij,135.0,0.135,10,13.5,1.0
Feld266_R4S_188_CANBERRA x COURAGE DH LINE,266,30.0,9.0,188,CANBERRA x COURAGE DH LINE,292.0,0.292,14,20.857142857142858,4.0
Feld267_R4S_277_Krapphauser,267,31.0,9.0,277,Krapphauser,66.0,0.066,10,6.6,2.0
Feld268_R4S_514_R31,268,32.0,9.0,514,R31,145.0,0.145,10,14.5,4.0
Feld269_R4S_444_1012-98,269,33.0,9.0,444,1012-98,53.0,0.053,11,4.818181818181818,28.0
Feld270_R4S_145_Milena,270,34.0,9.0,145,Milena,227.0,0.227,12,18.916666666666668,3.0
Feld271_R4S_466_L90,271,5.0,10.0,466,L90,407.0,0.407,16,25.4375,1.0
Feld272_R4S_245_Roxet,272,6.0,10.0,245,Roxet,147.0,0.147,11,13.363636363636363,1.0
Feld273_R4S_218_SHANNON x WINNER DH LINE,273,7.0,10.0,218,SHANNON x WINNER DH LINE,253.0,0.253,10,25.3,1.0
Feld274_R4S_230_Caramba,274,8.0,10.0,230,Caramba,313.0,0.313,10,31.3,3.0
Feld275_R4S_463_S101,275,9.0,10.0,463,S101,197.0,0.197,11,17.90909090909091,7.0
Feld276_R4S_465_S4,276,10.0,10.0,465,S4,208.0,0.208,9,23.11111111111111,2.0
Feld277_R4S_153_Manitoba,277,11.0,10.0,153,Manitoba,462.0,0.462,14,33.0,
Feld278_R4S_449_G50,278,12.0,10.0,449,G50,141.0,0.141,10,14.1,8.0
Feld279_R4S_378_Sobotkowski,279,13.0,10.0,378,Sobotkowski,208.0,0.208,11,18.90909090909091,
Feld280_R4S_227_Wotan,280,14.0,10.0,227,Wotan,193.0,0.193,10,19.3,3.0
Feld281_R4S_202_Mohican,281,15.0,10.0,202,Mohican,189.0,0.189,10,18.9,
Feld282_R4S_524_Taisetsu,282,16.0,10.0,524,Taisetsu,529.0,0.529,16,33.0625,3.0
Feld283_R4S_222_HANSEN X GASPARD DH LINE,283,17.0,10.0,222,HANSEN X GASPARD DH LINE,283.0,0.283,10,28.3,
Feld284_R4S_393_Gross-Luesewitzer,284,18.0,10.0,393,Gross-Luesewitzer,261.0,0.261,10,26.1,12.0
Feld285_R4S_306_RAGGED JACK,285,19.0,10.0,306,RAGGED JACK,287.0,0.287,25,11.48,3.0
Feld286_R4S_293_K26-96,286,20.0,10.0,293,K26-96,192.0,0.192,10,19.2,2.0
Feld288_R4S_447_K306,288,22.0,10.0,447,K306,114.0,0.114,10,11.4,33.0
Feld289_R4S_193_LICROWN X EXPRESS DH LINE,289,23.0,10.0,193,LICROWN X EXPRESS DH LINE,114.0,0.114,12,9.5,5.0
Feld290_R4S_356_GRUENER SCHNITTKOHL,290,24.0,10.0,356,GRUENER SCHNITTKOHL,121.0,0.121,10,12.1,
Feld291_R4S_456_S17,291,25.0,10.0,456,S17,159.0,0.159,10,15.9,3.0
Feld292_R4S_516_R31,292,26.0,10.0,516,R31,139.0,0.139,11,12.636363636363637,2.0
Feld293_R4S_383_Moldavia,293,27.0,10.0,383,Moldavia,149.0,0.149,12,12.416666666666666,3.0
Feld294_R4S_232_Beluga,294,28.0,10.0,232,Beluga,144.0,0.144,10,14.4,5.0
Feld295_R4S_171_Falstaff,295,29.0,10.0,171,Falstaff,116.0,0.116,10,11.6,
Feld296_R4S_332_Hollandse Gele Roodkop,296,30.0,10.0,332,Hollandse Gele Roodkop,58.0,0.058,11,5.2727272727272725,
Feld297_R4S_429_L122,297,31.0,10.0,429,L122,234.0,0.234,10,23.4,
Feld298_R4S_228_Orlando,298,32.0,10.0,228,Orlando,311.0,0.311,10,31.1,0.0
Feld299_R4S_272_Doral,299,33.0,10.0,272,Doral,251.0,0.251,10,25.1,1.0
Feld300_R4S_180_Duell,300,34.0,10.0,180,Duell,172.0,0.172,11,15.636363636363637,
