barcode,parcel_plot,parcel_spalte,parcel_reihe,parcel_r4s,genotype,plant_weight_g,plant_weight_kg,n_plants,plant_weight_per_plant_g,larvae_in_tray_manual
Feld57_R4S_217_JANETZKIS SCHLESISCHER,57,31.0,2.0,217,JANETZKIS SCHLESISCHER,281.0,0.281,10,28.1,
Feld58_R4S_398_Bolko,58,32.0,2.0,398,Bolko,373.0,0.373,10,37.3,1.0
Feld59_R4S_501_LG Avenger,59,33.0,2.0,501,LG Avenger,712.0,0.712,10,71.2,
Feld60_R4S_490_R8,60,34.0,2.0,490,R8,150.0,0.15,10,15.0,8.0
Feld61_R4S_443_J 104,61,5.0,3.0,443,J 104,288.0,0.288,10,28.8,10.0
Feld62_R4S_331_Magres Pajberg,62,6.0,3.0,331,Magres Pajberg,38.0,0.038,10,3.8,
Feld63_R4S_156_Vivol,63,7.0,3.0,156,Vivol,209.0,0.209,10,20.9,
Feld64_R4S_494_DSV1,64,8.0,3.0,494,DSV1,370.0,0.37,10,37.0,
Feld65_R4S_151_Ontario,65,9.0,3.0,151,Ontario,70.0,0.07,13,5.384615384615385,1.0
Feld66_R4S_292_V8,66,10.0,3.0,292,V8,112.0,0.112,10,11.2,
Feld67_R4S_203_Flip,67,11.0,3.0,203,Flip,211.0,0.211,10,21.1,
Feld68_R4S_204_Leopard,68,12.0,3.0,204,Leopard,160.0,0.16,10,16.0,
Feld69_R4S_329_Rotabaggeue,69,13.0,3.0,329,Rotabaggeue,71.0,0.071,9,7.888888888888889,
Feld70_R4S_539_Smaragd,70,14.0,3.0,539,Smaragd,317.0,0.317,10,31.7,
Feld71_R4S_169_Tenor,71,15.0,3.0,169,Tenor,204.0,0.204,10,20.4,
Feld72_R4S_197_Samourai,72,16.0,3.0,197,Samourai,68.0,0.068,7,9.714285714285714,
Feld73_R4S_166_NK Fair,73,17.0,3.0,166,NK Fair,220.0,0.22,10,22.0,3.0
Feld74_R4S_343_Drummonds Purple Top,74,18.0,3.0,343,Drummonds Purple Top,220.0,0.22,10,22.0,
Feld75_R4S_279_Liglory,75,19.0,3.0,279,Liglory,142.0,0.142,10,14.2,
Feld76_R4S_417_H355,76,20.0,3.0,417,H355,211.0,0.211,11,19.181818181818183,
Feld77_R4S_451_S5,77,21.0,3.0,451,S5,175.0,0.175,10,17.5,3.0
Feld78_R4S_522_Taisetsu,78,22.0,3.0,522,Taisetsu,357.0,0.357,10,35.7,5.0
Feld79_R4S_391_Jantar,79,23.0,3.0,391,Jantar,146.0,0.146,10,14.6,
Feld80_R4S_246_Laser,80,24.0,3.0,246,Laser,203.0,0.203,10,20.3,
Feld81_R4S_373_25629-3,81,25.0,3.0,373,25629-3,160.0,0.16,10,16.0,
Feld82_R4S_345_Bangholm PT,82,26.0,3.0,345,Bangholm PT,321.0,0.321,11,29.181818181818183,
Feld83_R4S_289_Start,83,27.0,3.0,289,Start,151.0,0.151,11,13.727272727272727,8.0
Feld84_R4S_243_Sansibar,84,28.0,3.0,243,Sansibar,166.0,0.166,10,16.6,
Feld85_R4S_190_RAFAL DH1,85,29.0,3.0,190,RAFAL DH1,217.0,0.217,10,21.7,
Feld86_R4S_505_Express 617,86,30.0,3.0,505,Express 617,197.0,0.197,8,24.625,
Feld87_R4S_157_BRISTOL,87,31.0,3.0,157,BRISTOL,178.0,0.178,10,17.8,1.0
Feld88_R4S_285_Quedlinburger Platzfester,88,32.0,3.0,285,Quedlinburger Platzfester,180.0,0.18,10,18.0,
Feld89_R4S_263_Agalon,89,33.0,3.0,263,Agalon,78.0,0.078,11,7.090909090909091,
Feld90_R4S_268_Anja,90,34.0,3.0,268,Anja,131.0,0.131,10,13.1,
Feld91_R4S_499_R4S_NPZ3,91,5.0,4.0,499,R4S_NPZ3,423.0,0.423,10,42.3,1.0
Feld92_R4S_428_S35,92,6.0,4.0,428,S35,162.0,0.162,11,14.727272727272727,18.0
Feld93_R4S_438_R99,93,7.0,4.0,438,R99,330.0,0.33,10,33.0,4.0
Feld94_R4S_489_S16,94,8.0,4.0,489,S16,148.0,0.148,10,14.8,4.0
Feld95_R4S_458_FS94.3,95,9.0,4.0,458,FS94.3,176.0,0.176,10,17.6,
Feld96_R4S_498_R4S_NPZ2,96,10.0,4.0,498,R4S_NPZ2,361.0,0.361,10,36.1,
Feld97_R4S_506_Express 617,97,11.0,4.0,506,Express 617,550.0,0.55,11,50.0,1.0
Feld98_R4S_341_Purple Top,98,12.0,4.0,341,Purple Top,33.0,0.033,11,3.0,1.0
Feld99_R4S_215_SHANG-YOU,99,13.0,4.0,215,SHANG-YOU,171.0,0.171,10,17.1,3.0
Feld100_R4S_273_Edita,100,14.0,4.0,273,Edita,255.0,0.255,10,25.5,2.0
Feld101_R4S_259_Escort,101,15.0,4.0,259,Escort,331.0,0.331,10,33.1,3.0
Feld102_R4S_497_R4S_NPZ1,102,16.0,4.0,497,R4S_NPZ1,338.0,0.338,9,37.55555555555556,3.0
Feld103_R4S_255_Atlantic,103,17.0,4.0,255,Atlantic,293.0,0.293,11,26.636363636363637,4.0
Feld104_R4S_335_Dalo Trifolium,104,18.0,4.0,335,Dalo Trifolium,58.0,0.058,10,5.8,6.0
Feld105_R4S_308_ABUKUMA NATANE,105,19.0,4.0,308,ABUKUMA NATANE,217.0,0.217,13,16.692307692307693,3.0
Feld106_R4S_394_Erra,106,20.0,4.0,394,Erra,137.0,0.137,10,13.7,
Feld107_R4S_161_OASE,107,21.0,4.0,161,OASE,204.0,0.204,10,20.4,2.0
Feld108_R4S_211_Lirabon,108,22.0,4.0,211,Lirabon,186.0,0.186,10,18.6,2.0
Feld109_R4S_143_Robust,109,23.0,4.0,143,Robust,218.0,0.218,10,21.8,
Feld110_R4S_382_Norde,110,24.0,4.0,382,Norde,168.0,0.168,10,16.8,
Feld111_R4S_318_SENSATION NZ,111,25.0,4.0,318,SENSATION NZ,46.0,0.046,11,4.181818181818182,1.0
Feld112_R4S_286_Ramses,112,26.0,4.0,286,Ramses,254.0,0.254,10,25.4,5.0
Feld113_R4S_434_J 134,113,27.0,4.0,434,J 134,90.0,0.09,10,9.0,22.0
Feld114_R4S_236_Baros,114,28.0,4.0,236,Baros,211.0,0.211,10,21.1,18.0
Feld115_R4S_377_Sonnengold,115,29.0,4.0,377,Sonnengold,212.0,0.212,10,21.2,3.0
Feld116_R4S_170_Kvintett,116,30.0,4.0,170,Kvintett,107.0,0.107,10,10.7,2.0
Feld117_R4S_326_Tipperary (Magnificent),117,31.0,4.0,326,Tipperary (Magnificent),56.0,0.056,12,4.666666666666667,1.0
Feld118_R4S_543_Smaragd,118,32.0,4.0,543,Smaragd,157.0,0.157,10,15.7,5.0
Feld119_R4S_440_R59,119,33.0,4.0,440,R59,129.0,0.129,10,12.9,31.0
Feld120_R4S_336_Wilhelmsburger Reform,120,34.0,4.0,336,Wilhelmsburger Reform,40.0,0.04,10,4.0,1.0
Feld121_R4S_325_Tankard Bronze Top,121,5.0,5.0,325,Tankard Bronze Top,449.0,0.449,10,44.9,4.0
Feld122_R4S_150_Montego,122,6.0,5.0,150,Montego,280.0,0.28,11,25.454545454545453,
Feld123_R4S_271_Coriander,123,7.0,5.0,271,Coriander,156.0,0.156,12,13.0,
Feld124_R4S_478_H357,124,8.0,5.0,478,H357,232.0,0.232,9,25.77777777777778,0.0
Feld125_R4S_287_Skziverskij,125,9.0,5.0,287,Skziverskij,272.0,0.272,10,27.2,1.0
Feld126_R4S_168_Verona,126,10.0,5.0,168,Verona,432.0,0.432,10,43.2,
Feld127_R4S_530_WINFRED,127,11.0,5.0,530,WINFRED,164.0,0.164,10,16.4,
Feld128_R4S_319_Altasweet,128,12.0,5.0,319,Altasweet,28.0,0.028,12,2.3333333333333335,
Feld129_R4S_207_Phil,129,13.0,5.0,207,Phil,61.0,0.061,10,6.1,3.0
Feld130_R4S_300_Michinaku natane,130,14.0,5.0,300,Michinaku natane,205.0,0.205,10,20.5,1.0
Feld131_R4S_173_Aurum,131,15.0,5.0,173,Aurum,180.0,0.18,14,12.857142857142858,
Feld132_R4S_487_S13,132,16.0,5.0,487,S13,71.0,0.071,10,7.1,12.0
Feld133_R4S_355_RAPID CYCLING RAPE (CrGC5),133,17.0,5.0,355,RAPID CYCLING RAPE (CrGC5),290.0,0.29,10,29.0,
Feld134_R4S_256_Ladoga,134,18.0,5.0,256,Ladoga,174.0,0.174,10,17.4,7.0
Feld135_R4S_513_R31,135,19.0,5.0,513,R31,160.0,0.16,10,16.0,
Feld136_R4S_317_PIKE,136,20.0,5.0,317,PIKE,41.0,0.041,22,1.8636363636363635,0.0
Feld137_R4S_483_OLL 1,137,21.0,5.0,483,OLL 1,83.0,0.083,11,7.545454545454546,2.0
Feld138_R4S_213_Akela,138,22.0,5.0,213,Akela,150.0,0.15,10,15.0,2.0
Feld139_R4S_267_Alesi,139,23.0,5.0,267,Alesi,112.0,0.112,10,11.2,
Feld140_R4S_298_Bladkool,140,24.0,5.0,298,Bladkool,384.0,0.384,11,34.90909090909091,3.0
Feld141_R4S_477_OLY 2,141,25.0,5.0,477,OLY 2,311.0,0.311,10,31.1,2.0
Feld142_R4S_167_Aviso,142,26.0,5.0,167,Aviso,330.0,0.33,11,30.0,2.0
Feld143_R4S_214_Sollux,143,27.0,5.0,214,Sollux,343.0,0.343,13,26.384615384615383,
Feld144_R4S_220_EUROL,144,28.0,5.0,220,EUROL,367.0,0.367,10,36.7,2.0
Feld145_R4S_457_H31,145,29.0,5.0,457,H31,163.0,0.163,10,16.3,19.0
Feld146_R4S_185_NK Passion,146,30.0,5.0,185,NK Passion,300.0,0.3,10,30.0,1.0
Feld147_R4S_495_DSV2,147,31.0,5.0,495,DSV2,263.0,0.263,12,21.916666666666668,6.0
Feld148_R4S_453_L16,148,32.0,5.0,453,L16,299.0,0.299,10,29.9,3.0
Feld149_R4S_399_Resyn-Goe H226,149,33.0,5.0,399,Resyn-Goe H226,192.0,0.192,10,19.2,
Feld150_R4S_254_Capitol,150,34.0,5.0,254,Capitol,134.0,0.134,11,12.181818181818182,
Feld151_R4S_357_E94197,151,5.0,6.0,357,E94197,386.0,0.386,10,38.6,5.0
Feld152_R4S_367_English Giant,152,6.0,6.0,367,English Giant,304.0,0.304,10,30.4,2.0
Feld153_R4S_160_Lion,153,7.0,6.0,160,Lion,192.0,0.192,10,19.2,
Feld154_R4S_541_Smaragd,154,8.0,6.0,541,Smaragd,291.0,0.291,10,29.1,4.0
Feld155_R4S_270_Ceres,155,9.0,6.0,270,Ceres,250.0,0.25,10,25.0,
Feld156_R4S_361_CHEMBERE DZAGUMHANA,156,10.0,6.0,361,CHEMBERE DZAGUMHANA,343.0,0.343,10,34.3,1.0
Feld157_R4S_302_Samo,157,11.0,6.0,302,Samo,460.0,0.46,10,46.0,
Feld158_R4S_405_L239,158,12.0,6.0,405,L239,263.0,0.263,10,26.3,11.0
Feld159_R4S_162_Recital,159,13.0,6.0,162,Recital,259.0,0.259,10,25.9,4.0
Feld160_R4S_515_R31,160,14.0,6.0,515,R31,225.0,0.225,11,20.454545454545453,
Feld161_R4S_299_Liragruen,161,15.0,6.0,299,Liragruen,157.0,0.157,10,15.7,
Feld162_R4S_226_Lilian,162,16.0,6.0,226,Lilian,206.0,0.206,10,20.6,1.0
Feld163_R4S_234_Zephir,163,17.0,6.0,234,Zephir,219.0,0.219,10,21.9,2.0
Feld164_R4S_290_Trebicska,164,18.0,6.0,290,Trebicska,167.0,0.167,10,16.7,4.0
Feld165_R4S_163_Magnum,165,19.0,6.0,163,Magnum,124.0,0.124,10,12.4,25.0
Feld166_R4S_542_Smaragd,166,20.0,6.0,542,Smaragd,180.0,0.18,10,18.0,
Feld167_R4S_262_Lord,167,21.0,6.0,262,Lord,155.0,0.155,10,15.5,6.0
Feld168_R4S_362_BRAUNER SCHNITTKOHL,168,22.0,6.0,362,BRAUNER SCHNITTKOHL,231.0,0.231,10,23.1,4.0
Feld169_R4S_484_R75,169,23.0,6.0,484,R75,279.0,0.279,11,25.363636363636363,2.0
Feld170_R4S_301_Parapluie,170,24.0,6.0,301,Parapluie,384.0,0.384,10,38.4,
Feld171_R4S_247_Madrigal,171,25.0,6.0,247,Madrigal,368.0,0.368,10,36.8,3.0
Feld172_R4S_454_S3,172,26.0,6.0,454,S3,161.0,0.161,10,16.1,1.0
Feld173_R4S_396_Diamant,173,27.0,6.0,396,Diamant,275.0,0.275,10,27.5,2.0
Feld174_R4S_164_Fortis,174,28.0,6.0,164,Fortis,203.0,0.203,10,20.3,5.0
Feld175_R4S_534_WINFRED,175,29.0,6.0,534,WINFRED,270.0,0.27,10,27.0,1.0
Feld176_R4S_322_Essex Model,176,30.0,6.0,322,Essex Model,112.0,0.112,10,11.2,
Feld177_R4S_371_MOANA MOANA RAPE,177,31.0,6.0,371,MOANA MOANA RAPE,215.0,0.215,10,21.5,
Feld178_R4S_313_FORTIN FAMILY,178,32.0,6.0,313,FORTIN FAMILY,200.0,0.2,10,20.0,
Feld179_R4S_219_Lesira,179,33.0,6.0,219,Lesira,214.0,0.214,10,21.4,5.0
Feld180_R4S_274_Guelzower Oelquell,180,34.0,6.0,274,Guelzower Oelquell,220.0,0.22,14,15.714285714285714,
Feld181_R4S_503_Express 617,181,5.0,7.0,503,Express 617,492.0,0.492,10,49.2,
Feld182_R4S_459_S14,182,6.0,7.0,459,S14,160.0,0.16,10,16.0,5.0
Feld183_R4S_278_Libritta,183,7.0,7.0,278,Libritta,494.0,0.494,12,41.166666666666664,10.0
Feld184_R4S_348_Wilhelmsburger,184,8.0,7.0,348,Wilhelmsburger,313.0,0.313,10,31.3,1.0
Feld185_R4S_281_Madora,185,9.0,7.0,281,Madora,411.0,0.411,10,41.1,3.0
Feld186_R4S_381_Panter,186,10.0,7.0,381,Panter,204.0,0.204,9,22.666666666666668,4.0
Feld187_R4S_158_Lipid,187,11.0,7.0,158,Lipid,501.0,0.501,10,50.1,
Feld188_R4S_436_RS13/6,188,12.0,7.0,436,RS13/6,388.0,0.388,10,38.8,1.0
Feld189_R4S_380_Sarepta,189,13.0,7.0,380,Sarepta,441.0,0.441,10,44.1,6.0
Feld190_R4S_323_Parkside,190,14.0,7.0,323,Parkside,133.0,0.133,10,13.3,
Feld191_R4S_276_Jupiter,191,15.0,7.0,276,Jupiter,272.0,0.272,11,24.727272727272727,9.0
Feld192_R4S_152_Missouri,192,16.0,7.0,152,Missouri,264.0,0.264,10,26.4,1.0
Feld193_R4S_504_Express 617,193,17.0,7.0,504,Express 617,314.0,0.314,10,31.4,3.0
Feld194_R4S_172_Aragon,194,18.0,7.0,172,Aragon,292.0,0.292,10,29.2,1.0
Feld195_R4S_502_LG Aviron,195,19.0,7.0,502,LG Aviron,748.0,0.748,10,74.8,
Feld196_R4S_251_Lisabeth,196,20.0,7.0,251,Lisabeth,250.0,0.25,13,19.23076923076923,0.0
Feld197_R4S_183_Prince,197,21.0,7.0,183,Prince,310.0,0.31,10,31.0,2.0
Feld198_R4S_407_S39,198,22.0,7.0,407,S39,262.0,0.262,10,26.2,3.0
Feld199_R4S_159_Lipton,199,23.0,7.0,159,Lipton,343.0,0.343,12,28.583333333333332,
Feld200_R4S_372_CANARD,200,24.0,7.0,372,CANARD,367.0,0.367,10,36.7,
Feld201_R4S_324_Scotia,201,25.0,7.0,324,Scotia,367.0,0.367,10,36.7,7.0
Feld202_R4S_500_LG Atlas,202,26.0,7.0,500,LG Atlas,569.0,0.569,10,56.9,
Feld203_R4S_448_K160.1.1,203,27.0,7.0,448,K160.1.1,256.0,0.256,17,15.058823529411764,12.0
Feld204_R4S_549_ALLESANDRO KWS,204,28.0,7.0,549,ALLESANDRO KWS,374.0,0.374,10,37.4,1.0
Feld205_R4S_205_RESYN-H048,205,29.0,7.0,205,RESYN-H048,205.0,0.205,12,17.083333333333332,4.0
Feld206_R4S_352_LORD DERBY,206,30.0,7.0,352,LORD DERBY,462.0,0.462,16,28.875,1.0
Feld207_R4S_346_Angus,207,31.0,7.0,346,Angus,101.0,0.101,11,9.181818181818182,1.0
Feld208_R4S_439_R76,208,32.0,7.0,439,R76,174.0,0.174,10,17.4,2.0
Feld209_R4S_146_K615,209,33.0,7.0,146,K615,217.0,0.217,11,19.727272727272727,
Feld210_R4S_523_Taisetsu,210,34.0,7.0,523,Taisetsu,395.0,0.395,14,28.214285714285715,2.0
Feld211_R4S_239_SW Sinatra,211,5.0,8.0,239,SW Sinatra,164.0,0.164,10,16.4,1.0
Feld212_R4S_347_Aberdeenshire Prize,212,6.0,8.0,347,Aberdeenshire Prize,115.0,0.115,11,10.454545454545455,9.0
Feld213_R4S_304_Q100,213,7.0,8.0,304,Q100,229.0,0.229,13,17.615384615384617,2.0
Feld214_R4S_418_R64,214,8.0,8.0,418,R64,297.0,0.297,10,29.7,4.0
Feld215_R4S_237_Lorenz,215,9.0,8.0,237,Lorenz,127.0,0.127,10,12.7,
Feld216_R4S_550_ALLESANDRO KWS,216,10.0,8.0,550,ALLESANDRO KWS,406.0,0.406,10,40.6,
Feld217_R4S_365_Palu,217,11.0,8.0,365,Palu,245.0,0.245,10,24.5,
Feld218_R4S_238_Viking,218,12.0,8.0,238,Viking,259.0,0.259,13,19.923076923076923,5.0
Feld219_R4S_334_Sator Oetofte,219,13.0,8.0,334,Sator Oetofte,75.0,0.075,10,7.5,
Feld220_R4S_206_Resyn-Goe S4,220,14.0,8.0,206,Resyn-Goe S4,109.0,0.109,10,10.9,4.0
Feld221_R4S_339_Tina,221,15.0,8.0,339,Tina,130.0,0.13,10,13.0,1.0
Feld222_R4S_315_VOGESA,222,16.0,8.0,315,VOGESA,138.0,0.138,14,9.857142857142858,2.0
Feld223_R4S_533_WINFRED,223,17.0,8.0,533,WINFRED,94.0,0.094,10,9.4,4.0
Feld224_R4S_264_Allure,224,18.0,8.0,264,Allure,178.0,0.178,10,17.8,4.0
