qr_code,plot,reihe,spalte,genotype,is_smagrad_separator,larvae_manual,larvae_raw,obs
R4S_221,29.0,1.0,29.0,Conqueror Bronze Green Top,False,2,2i,
R4S_322,176.0,5.0,32.0,L16,False,13,13i,
R4S_433,5.0,1.0,5.0,A4C34,False,2,2i,
R4S_306,285.0,8.0,33.0,G89,False,1,1i,
R4S_543,118.0,4.0,10.0,R4S_NPZ2,False,1,1i,
R4S_284,248.0,7.0,32.0,R76,False,8,8i,
R4S_216,38.0,2.0,2.0,Smaragd,True,4,4i,
R4S_213,138.0,4.0,30.0,Kvintett,False,0,0,
R4S_255,103.0,3.0,31.0,BRISTOL,False,20,20i,
R4S_209,9.0,1.0,9.0,SEM,False,77,77i,
R4S_181,31.0,1.0,31.0,Peerless (Acme),False,0,0,
R4S_263,89.0,3.0,17.0,NK Fair,False,4,4i,
R4S_405,158.0,5.0,14.0,Michinaku natane,False,10,10i,
R4S_336,120.0,4.0,12.0,Purple Top,False,2,2i,
R4S_235,264.0,8.0,12.0,Viking,False,0,0,
R4S_226,162.0,5.0,18.0,Ladoga,False,23,23i,
R4S_254,150.0,5.0,6.0,Montego,False,1,1i,
R4S_399,149.0,5.0,5.0,Tankard Bronze Top,False,0,0,
R4S_323,190.0,6.0,10.0,CHEMBERE DZAGUMHANA,False,7,7i,
R4S_373,81.0,3.0,9.0,Ontario,False,1,1i,
R4S_359,36.0,1.0,36.0,Smaragd,True,22,22i,
R4S_358,34.0,1.0,34.0,EMERALD,False,0,0,
R4S_484,169.0,5.0,25.0,OLY 2,False,1,1i,
R4S_326,117.0,4.0,9.0,FS94.3,False,2,2i,
R4S_203,67.0,2.0,31.0,JANETZKIS SCHLESISCHER,False,4,4,
R4S_477,141.0,4.0,33.0,R59,False,71,71i,
R4S_146,209.0,6.0,29.0,WINFRED,False,30,30i,
R4S_356,290.0,9.0,2.0,Smaragd,True,13,13i,
R4S_386,11.0,1.0,11.0,S30,False,10,10i,
R4S_407,198.0,6.0,18.0,Trebicska,False,3,3i,
R4S_542,166.0,5.0,22.0,Akela,False,3,3i,
R4S_267,139.0,4.0,31.0,Tipperary (Magnificent),False,1,1i,
R4S_222,283.0,8.0,31.0,DSV3,False,2,2i,
R4S_345,82.0,3.0,10.0,V8,False,1,1i,
R4S_324,201.0,6.0,21.0,Lord,False,67,67i,
R4S_151,65.0,2.0,29.0,Musette,False,2,2i,
R4S_285,88.0,3.0,16.0,Samourai,False,0,0,
R4S_202,281.0,8.0,29.0,Brink,False,0,0,
R4S_145,270.0,8.0,18.0,Allure,False,45,45i,
R4S_268,90.0,3.0,18.0,Drummonds Purple Top,False,0,0,
R4S_269,37.0,2.0,1.0,Smaragd,True,2,2i,
R4S_439,208.0,6.0,28.0,Fortis,False,11,11i,
R4S_465,276.0,8.0,24.0,S45.2.2,False,6,6i,
R4S_224,22.0,1.0,22.0,AMBER X COMMANCHE DH LINE,False,2,2i,
R4S_504,193.0,6.0,13.0,Recital,False,0,0,
R4S_293,286.0,8.0,34.0,ALLESANDRO KWS,False,13,13i,
R4S_251,196.0,6.0,16.0,Lilian,False,8,8i,
R4S_292,66.0,2.0,30.0,R53,False,16,16i,
R4S_272,299.0,9.0,11.0,Silona,False,4,4i,
R4S_305,43.0,2.0,7.0,York,False,27,27i,
R4S_183,187.0,6.0,7.0,Lion,False,5,5i,
R4S_514,268.0,8.0,16.0,VOGESA,False,3,3i,
R4S_164,174.0,5.0,30.0,NK Passion,False,2,2i,
R4S_300,130.0,4.0,22.0,Lirabon,False,5,5i,
R4S_313,178.0,5.0,34.0,Capitol,False,0,0,
R4S_365,217.0,7.0,1.0,Smaragd,True,3,3i,
R4S_442,10.0,1.0,10.0,Taisetsu,False,54,54i,
R4S_161,107.0,3.0,35.0,Smaragd,True,22,22i,
R4S_342,27.0,1.0,27.0,Skrzeszowicki,False,25,25i,
R4S_516,292.0,9.0,4.0,Smaragd,True,105,105i,
R4S_231,260.0,8.0,8.0,R64,False,85,85i,
R4S_375,246.0,7.0,30.0,LORD DERBY,False,5,5i,
R4S_177,13.0,1.0,13.0,Falcon,False,8,8i,
R4S_236,114.0,4.0,6.0,S35,False,0,0,
R4S_364,247.0,7.0,31.0,Angus,False,86,86i,
R4S_318,111.0,4.0,3.0,Smaragd,True,8,8i,
R4S_315,222.0,7.0,6.0,S14,False,0,0,
R4S_147,20.0,1.0,20.0,Pirola,False,0,0,
R4S_182,255.0,8.0,3.0,Smaragd,True,1,1i,
R4S_170,116.0,4.0,8.0,S16,False,12,12i,
R4S_256,134.0,4.0,26.0,Ramses,False,18,18i,
R4S_406,7.0,1.0,7.0,Wolynski,False,13,13i,
R4S_301,170.0,5.0,26.0,Aviso,False,14,14i,
R4S_379,23.0,1.0,23.0,WINFRED,False,3,3i,
R4S_294,56.0,2.0,20.0,Lirakotta,False,24,24i,
R4S_228,298.0,9.0,10.0,Vinnickij 15/59,False,9,9i,
R4S_466,271.0,8.0,19.0,R12,False,75,75i,
R4S_331,62.0,2.0,26.0,Dippes,False,20,20i,
